Object ID,Object type,Object name,Purpose,Key fields,Relationships,Active / Partial / Dormant / Legacy / Unverified,Primary source,Security controls,Known limitations,Confidence,Notes
DB-001,Table,organizations,Tenant root — one row per customer organisation,"id PK; name; domain (unique); active; settings jsonb; modules text[] (default {geotech}); orgType enum; deletedAt",Root of all org-scoped tables,Active,shared/schema.ts:39,RLS enabled; storage-layer org filtering,orgType retains dropped aviation values (operator/council),High,"Tenant == organization; no separate tenants table"
DB-002,Table,sessions,connect-pg-simple session store,sid PK; sess jsonb; expire (indexed),None,Active,shared/schema.ts:58,RLS enabled,Infra table,High,
DB-003,Table,users,Application users,"id PK; organizationId FK; email; passwordHash; role (user_role enum); active; mustChangePassword; deletedAt",→ organizations,Active,shared/schema.ts:64,RLS; bcrypt password hashes; unique (email + org),Role enum retains aviation-era roles,High,
DB-004,Table,tenant_config,Per-tenant branding / feature flags / copy overrides / voice number,"id PK; organizationId FK unique; brand fields; featureFlags jsonb; copyOverrides jsonb; support contacts; voice phone",→ organizations (1:1),Active,shared/schema.ts:128,RLS,Feature-flag semantics split between default-on and opt-in lists in client code,High,Drives multi-domain branding (rockcontrol.app / tacedgepm.com / lpcreporting.app / steepworks.app)
DB-005,Table,clients,Client companies,"id PK; organizationId FK; companyName; contacts; deletedAt",→ organizations,Active,shared/schema.ts:183,RLS,,High,
DB-006,Table,password_resets,Password reset tokens (SHA-256 hashed),id PK; userId FK; token unique; expiresAt; used,→ users,Active,shared/schema-auth.ts:15,RLS; tokens hashed,,High,
DB-007,Table,email_verifications,Email verification tokens,id PK; userId FK; token unique; verified,→ users,Active,shared/schema-auth.ts:26,RLS,,High,
DB-008,Table,access_requests,Self-serve access requests,id PK; organizationId FK; email; status enum; reviewedById,→ organizations; users,Active,shared/schema-auth.ts:37,RLS,,High,
DB-009,Table,oauth_connections,OAuth account links,id PK; userId FK; provider enum; tokens,→ users,Active,shared/schema-auth.ts:51,RLS; token storage in DB,Provider enum lists google/github but only Microsoft flow implemented,Medium,
DB-010,Table,webauthn_credentials,WebAuthn passkeys,id PK; userId FK; credentialId unique; publicKey; counter,→ users,Active,shared/schema-auth.ts:66,RLS,,High,
DB-011,Table,notification_preferences,Per-user notification opt-ins,id PK; organizationId FK; userId FK; category; enabled,→ organizations; users,Active,shared/schema.ts:311 (migration 0030),RLS; unique (user + category),,High,
DB-012,Table,role_capability_overrides,Per-org overrides of the static RBAC matrix,id PK; organizationId FK; role; capability; level,→ organizations,Active,shared/schema.ts:329 (migration 0030),RLS; unique (org + role + capability),,High,Overrides win over shared/rbac.ts matrix
DB-013,Table,projects,Central project record,"id PK; organizationId FK; projectCode; status enum; lat/long; lithologyPresets jsonb; scope jsonb; isTest; createdById; deletedAt",→ organizations; users,Active,shared/schema.ts:210,RLS; org index,No CREATE TABLE migration (created via drizzle-kit push),High,
DB-014,Table,project_team_members,Named team members (optional userId),id PK; projectId FK; userId FK nullable; role,→ projects; users,Active,shared/schema.ts:248 (migration 0014),RLS,,High,
DB-015,Table,project_zones,Top-level planning unit above sections,"id PK; projectId FK; organizationId FK; rowDirection; sortOrder; deletedAt",→ projects; organizations,Active,shared/schema.ts:264 (migration 0033),RLS,,High,Migration 0033 backfills 'Zone 1'
DB-016,Table,project_sections,Sub-area within a zone,"id PK; projectId FK; organizationId FK; zoneId FK nullable; chainageFrom/To; deletedAt",→ projects; project_zones,Active,shared/schema.ts:284,RLS; idx_project_sections_project,,High,
DB-017,Table,project_documents,Per-project file store,"id PK; projectId FK; organizationId FK; storagePath; mimeType; uploadedById; deletedAt",→ projects; users,Active,shared/schema.ts:346 (migration 0029),RLS; files in private Supabase bucket,,High,
DB-018,Table,face_photos,Rock-face photos with annotations and bi-axial scale,"id PK; projectId/organizationId/sectionId/zoneId FK; storagePath; annotations jsonb; horizontal+vertical scale fields; deletedAt",→ projects; sections; zones; users,Active,shared/schema.ts:364 (migrations 0015/0016/0042/0051),RLS,,High,
DB-019,Table,caller_project_mappings,Phone number → project mapping for voice intake,id PK; organizationId FK; projectId FK; phoneNumber,→ organizations; projects,Active,shared/schema.ts:448 (migration 0020_dial_number),RLS; unique (phone + org),,High,
DB-020,Table,anchor_designs,Anchor design specifications,"id PK; projectId/organizationId FK; zoneId/sectionId FK nullable; anchorType enum; bond/debond/design-load numerics; deletedAt",→ projects; zones; sections,Active,shared/schema.ts:463,RLS,,High,
DB-021,Table,grout_mix_types,Project grout category lookup,id PK; projectId FK; organizationId FK; name,→ projects,Active,shared/schema.ts:497 (migration 0025),RLS,,High,
DB-022,Table,grout_mixes,Grout mix recipes,"id PK; projectId FK; organizationId FK; typeId FK nullable; cementType; waterCementRatio",→ projects; grout_mix_types,Active,shared/schema.ts:508 (migration 0044 added w/c ratio),RLS,,High,
DB-023,Table,drill_methods,Project drill-method lookup,id PK; projectId FK; organizationId FK; name,→ projects,Active,shared/schema.ts:526,RLS,,High,
DB-024,Table,signatories,Per-tenant signatory registry,id PK; organizationId FK; personName; lastUsedAt,→ organizations,Active,shared/schema.ts:542 (migration 0038),RLS; unique (org + person),,High,
DB-025,Table,drillers,Per-tenant driller/crew autocomplete,id PK; organizationId FK; name; lastUsedAt,→ organizations,Active,shared/schema.ts:564 (migration 0036),RLS; unique (org + name),,High,
DB-026,Table,anchor_install_logs,Drill + grout install log — the core geotech record,"id PK; projectId/organizationId FK; zoneId/sectionId/anchorDesignId FK; anchorReference; status (anchor_status enum); testType enum; issues jsonb; attachments jsonb; facePhotoId FK; redrilledFrom; needsPmReview; deletedAt",→ projects; zones; designs; drill_methods; grout_mixes; face_photos; users,Active,shared/schema.ts:711,RLS; idx_forms_anchor_install; 30-day purge worker for soft-deleted rows,No CREATE TABLE migration file (drizzle push),High,Soft-delete + archive-purge worker (migration 0045)
DB-027,Table,anchor_import_jobs,AI PDF → anchor-plan import,"id PK; projectId/organizationId FK; uploadedById; pdfStoragePath; aiResponseJson/finalPlanJson jsonb; status enum",→ projects; users,Active,shared/schema.ts:791 (migration 0035),RLS,,High,AI proposes; PM approves before rows created
DB-028,Table,job_briefs,AI-extracted job brief,"id PK; projectId/organizationId FK; uploadedById/confirmedById; briefJson; aiRawResponse jsonb; status enum; version",→ projects; users,Active,shared/schema.ts:818 (migration 0052),RLS,,High,
DB-029,Table,job_brief_documents,Source PDFs feeding a job brief,id PK; jobBriefId FK cascade; organizationId FK; pdfStoragePath,→ job_briefs (cascade),Active,shared/schema.ts:843 (migration 0052),RLS,,High,
DB-030,Table,ground_profile_layers,Lithology layers per anchor,"id PK; anchorInstallId FK; organizationId FK; depthFrom/To; material",→ anchor_install_logs,Active,shared/schema.ts:857 (index migration 0056),RLS,,High,
DB-031,Table,anchor_test_results,Anchor load-test results,"id PK; anchorInstallId FK; organizationId FK; testStandard enum; creep/displacement numerics; jackAssetId; testPhotos jsonb; conformant",→ anchor_install_logs; organizations,Active,shared/schema.ts:873,RLS,Test photos stored in jsonb,High,
DB-032,Table,anchor_test_readings,Per-load-step dial readings,"id PK; testResultId FK; organizationId FK; loadStepNumber; dialNumber (1-3); displacement columns",→ anchor_test_results,Active,shared/schema.ts:916 (migration 0020_dial_number),RLS,,High,
DB-033,Table,variations,Contract variations,"id PK; projectId/organizationId FK; variationNumber; reason enum; status enum; deletedAt",→ projects; users,Active,shared/schema.ts:945,RLS,,High,
