Workflow ID,Workflow name,Priority,Primary actor,Supporting roles,Start route,End state,Runtime classification,Steps,Screenshots,Capability IDs,PDS IDs,External side-effect risk,Principal limitation,V2 scoping question,Validation required
WF-01,Sign in and reach the tenant experience,1,All roles,—,/login,Role-adaptive dashboard,OBSERVED,6,7,V1-AUTH-01;V1-DSH-01;V1-ORG-03,PDS-AUTH;PDS-DSH,None,In-app shell shows TACEDGE brand even for RockControl tenant locally (RV-12),Which tenant-config fields must drive the in-app shell (not just login)?,Confirm in-app branding on a real tenant domain
WF-02,Configure a ground-engineering project,1,Project Manager,OrgAdmin,/projects,Project with zones/designs/mixes/methods,OBSERVED — TEST DATA,8,6,V1-PRJ-01;V1-PRJ-02;V1-CFG-01;V1-CFG-02;V1-CFG-03,PDS-PRJ;PDS-PRJD,None (local writes),Setup spread across many tabs; no guided first-run,Does V2 keep per-project setup or move to reusable work-type templates?,—
WF-03,Plan anchors,1,Project Manager,—,/projects/:id,Planned anchors in zones,OBSERVED — TEST DATA,3,2,V1-PRJ-02;V1-PLN-01;V1-PLN-02,PDS-PRJD,None,AI PDF import + job brief BLOCKED without Anthropic key,Is AI plan import load-bearing or assistive for V2?,Observe AI import accuracy with a key
WF-04,Locate and select an anchor,1,Field crew,—,/drill,Anchor selected for capture,OBSERVED — TEST DATA,2,4,V1-DRL-01;V1-MAP-02,PDS-DRL;PDS-PRJD,None,Field user must pick a project first; a project-less "Just Drill" path also exists (RV-10),Should V2 unify planned vs one-off capture?,—
WF-05,Capture drilling,1,Field crew,Site Supervisor,/drill,Anchor status = drilled,OBSERVED — TEST DATA,6,6,V1-DRL-01;V1-DRL-02;V1-DRL-03;V1-OFF-01,PDS-DRL,None (local writes),Offline replay not exercised in this runtime,Does the V2 review lifecycle change the capture dialog?,Field-test offline capture + resync
WF-06,Capture grouting,1,Field crew,—,/drill,Anchor status = grouted,OBSERVED — TEST DATA,2,1,V1-GRT-01,PDS-DRL,None,Grout shares the quick-fill dialog family; requires-redrill path not exercised,Where does requires-redrill sit in the V2 model?,Exercise the requires-redrill path
WF-07,Capture and process an anchor test,1,Project Manager,Site Supervisor,/anchor-testing,Test result + conformance,PARTIALLY OBSERVED,5,3,V1-TST-01;V1-TST-02;V1-TST-03;V1-TST-04,PDS-TST,None,Test-report PDF and OCR BLOCKED (AI dependency confirmed at runtime, RV-05),Is AI acceptable in the trusted-record path for V2?,Confirm OCR + report PDF accuracy with a key
WF-08,Review the project record,1,Project Manager,—,/anchor-logs,Reviewed (not confirmed) record,OBSERVED — TEST DATA,4,2,V1-DRL-03,PDS-ALG,None,No QA/confirm gate; Review column empty; needsPmReview is a flag (RV-02),How does V2's submitted->confirmed lifecycle graft onto this table?,—
WF-09,Export and release information,1,Project Manager,—,/anchor-logs,XLSX/PDF/report output,OBSERVED — TEST DATA,6,5,V1-RPT-01;V1-RPT-02;V1-RPT-03,PDS-ALG;PDS-RPT,Email send (NOT triggered); test PDF AI-gated,XLSX works; test-report PDF needs AI; email opened but not sent,Which export is the client-facing record of truth in V2?,Confirm which exports customers actually receive
WF-10,Complete a Daily Activity Sheet,1,Site Supervisor,Field crew,/daily-activity,Saved DAS + PDF/invoice,OBSERVED — TEST DATA,4,4,V1-DAS-01;V1-DAS-02;V1-DAS-03,PDS-DAS;PDS-PRJD,None,Invoice XLSX not rendered here; SteepWorks variant not accessible,Does V2 adopt DAS rate cards as-is?,Observe SteepWorks invoice variant
