Planned Screenshot ID,Workflow ID,Step,Screen name,Route,PDS ID,Capability IDs,User role,Tenant,Viewport,Runtime environment,Required action,Read only / write,External side-effect risk,Capture status,Notes
WF-01-S01,WF-01,1,Login,/login,PDS-AUTH,V1-AUTH-01,Public,RockControl (localhost),1440x900,local,None,Read only,None,Planned,Tenant-branded login
WF-01-S02,WF-01,2,Dashboard (OrgAdmin),/,PDS-DSH,V1-DSH-01,OrgAdmin,RockControl,1440x900,local,Login,Read only,None,Planned,
WF-01-S03,WF-01,3,Sidebar navigation,/,PDS-DSH,V1-ORG-03,OrgAdmin,RockControl,1440x900,local,None,Read only,None,Planned,Full management nav
WF-01-S04,WF-01,4,Dashboard (FieldTech),/,PDS-DSH,V1-DSH-01,FieldTech,RockControl,1440x900,local,Login as field,Read only,None,Planned,Role-trimmed nav
WF-01-S05,WF-01,5,Mobile dashboard + bottom nav,/,PDS-DSH,V1-OFF-01,FieldTech,RockControl,390x844,local,None,Read only,None,Planned,Bottom bar Home/This Page/Drill/Voice
WF-01-S06,WF-01,6,TACEDGE brand landing,/ via 127.0.0.1,PDS-MKT,V1-MKT-01,Public,TACEDGE default brand,1440x900,local,None,Read only,None,Planned,Host-fallback brand variant
WF-02-S01,WF-02,1,Projects list,/projects,PDS-PRJ,V1-PRJ-01,OrgAdmin,RockControl,1440x900,local,None,Read only,None,Planned,
WF-02-S02,WF-02,2,Project detail overview,/projects/:id,PDS-PRJD,V1-PRJ-01,OrgAdmin,RockControl,1440x900,local,Open project,Read only,None,Planned,
WF-02-S03,WF-02,3,Zones & sections setup,/projects/:id (design tab),PDS-PRJD,V1-PRJ-02,OrgAdmin,RockControl,1440x900,local,View zones,Read only,None,Planned,
WF-02-S04,WF-02,4,Anchor designs,/projects/:id (design tab),PDS-PRJD,V1-CFG-01,OrgAdmin,RockControl,1440x900,local,View designs,Read only,None,Planned,Seeded RB25G/RB16G
WF-02-S05,WF-02,5,Create drill method,/projects/:id (design tab),PDS-PRJD,V1-CFG-03,OrgAdmin,RockControl,1440x900,local,Create,Write (local test DB),None,Planned,Safe local write
WF-02-S06,WF-02,6,Create grout mix,/projects/:id (design tab),PDS-PRJD,V1-CFG-02,OrgAdmin,RockControl,1440x900,local,Create,Write (local test DB),None,Planned,
WF-02-S07,WF-02,7,Project team,/projects/:id (team),PDS-PRJD,V1-PRJ-03,OrgAdmin,RockControl,1440x900,local,View,Read only,None,Planned,
