Evidence ID,Product area,Claim or capability,Classification,Source repository,Source file,Route,Component,Schema object,Relevant line or identifier,Runtime evidence,Screenshot reference,Confidence,Notes,Validation required
EV-001,Platform,V1 is a multi-tenant SaaS ('RockControl') serving construction H&S + geotechnical anchor work + port operations across four branded domains,IMPLEMENTED,TACEDGE Geotech,package.json; server/middleware/security.ts,—,—,organizations; tenant_config,package.json description; security.ts:55-69 CORS allowlist,None (static inspection only),None captured,High,Domains: rockcontrol.app / tacedgepm.com / lpcreporting.app / steepworks.app,Confirm active tenant list and live usage per tenant
EV-002,Authentication,Email+password login with Postgres-backed 30-day rolling sessions,IMPLEMENTED,TACEDGE Geotech,server/routes/auth.ts; server/sessionAuth.ts,POST /api/auth/login,login.tsx,users; sessions,sessionAuth.ts:24 (fail-closed SESSION_SECRET),None,None,High,,
EV-003,Authentication,Microsoft OAuth (Azure AD) with PKCE + JWKS verification,IMPLEMENTED,TACEDGE Geotech,server/microsoftAuth.ts,GET /api/auth/microsoft; /api/auth/callback/azure-ad,login.tsx,oauth_connections,microsoftAuth.ts,None,None,High,,Which tenants use SSO
EV-004,Authentication,WebAuthn/passkeys present in dependencies and schema but no server routes registered,DORMANT,TACEDGE Geotech,package.json; shared/schema-auth.ts,—,—,webauthn_credentials,schema-auth.ts:66; absent from server/routes.ts,None,None,High,CLAUDE.md lists WebAuthn as part of the stack — stale claim,Confirm passkeys were ever live
EV-005,Tenancy,Tenant isolation enforced at repository layer via organizationId from req.currentUser,IMPLEMENTED,TACEDGE Geotech,server/rbac.ts; server/repositories/*,—,—,All org-scoped tables,rbac.ts:81 loadCurrentUser,None,None,High,No global tenant middleware — per-route discipline,
EV-006,Tenancy,Row-level security enabled on every public table with deploy-time audit,IMPLEMENTED,TACEDGE Geotech,server/scripts/migrate.ts; migrations/0032+0053,—,—,All public tables,auditRls(),None,None,High,Deny-by-default for Supabase anon roles; Express postgres role bypasses,
EV-007,Users & permissions,RBAC = 10 roles × 7 capabilities (none/read/write) + per-org DB overrides cached 30 s,IMPLEMENTED,TACEDGE Geotech,shared/rbac.ts; server/rbac.ts,GET/PATCH /api/settings/role-permissions,settings.tsx,role_capability_overrides,shared/rbac.ts:24-115,None,None,High,3 aviation-era roles remain,
EV-008,Projects,Projects with zones/sections and per-project setup lookups (designs/mixes/methods),IMPLEMENTED,TACEDGE Geotech,server/routes/projects.ts; anchor-logs/config.ts,/projects; /projects/:id,projects.tsx; project-detail.tsx,projects; project_zones; project_sections; anchor_designs; grout_mixes; drill_methods,schema.ts:210-526,None,None,High,,
EV-009,Planning,AI PDF anchor-plan import with human approval before rows are created,IMPLEMENTED,TACEDGE Geotech,server/routes/anchor-import.ts; services/anchor-import-ai.ts,POST /api/projects/:id/anchor-import,project-detail.tsx,anchor_import_jobs,anchor-import-ai.ts MODEL_ID claude-sonnet-4-6,None,None,High,,AI accuracy in production
EV-010,Drill capture,Field drill/grout capture grid with bulk updates and quick-fill,IMPLEMENTED,TACEDGE Geotech,client/src/pages/drill.tsx; server/routes/anchor-logs/,/drill,drill.tsx; useDrill,anchor_install_logs; ground_profile_layers,drill.tsx (797 lines),None,None,High,,Offline capture behaviour
EV-011,Drill review,Drill Summary with bulk review + XLSX export + email to teammate,IMPLEMENTED,TACEDGE Geotech,client/src/pages/anchor-logs.tsx; server/routes/anchor-logs/drill-log-xlsx.ts,/anchor-logs,anchor-logs.tsx,anchor_install_logs,POST /api/anchor-logs/email (zod emailLogsSchema),None,None,High,,
EV-012,Anchor lifecycle,Anchor status enum drives lifecycle: planned→drilled→grouted→tested with not-required and requires-redrill off-path,IMPLEMENTED,TACEDGE Geotech,shared/schema-enums.ts,—,—,anchor_status enum,migration 0004,None,None,High,redrilledFrom links redrill chains,
EV-013,Testing,Anchor load tests with standards + per-step dial readings + conformance,IMPLEMENTED,TACEDGE Geotech,server/routes/anchor-tests/,/anchor-testing,anchor-testing.tsx,anchor_test_results; anchor_test_readings,test_standard enum,None,None,High,,
EV-014,Testing,AI photo OCR of paper test sheets + AI conformance analysis,IMPLEMENTED,TACEDGE Geotech,server/routes/anchor-tests/ai-handlers.ts; server/ai-test-analyzer.ts,POST /api/anchor-logs/:logId/test-photo-ocr,anchor-testing.tsx,—,ai-test-analyzer.ts:509 claude-sonnet-4-6,None,None,High,Paper-first testing digitised downstream,OCR accuracy
EV-015,Daily records,Daily activity sheets with crew/plant hours + PDF/invoice XLSX export,IMPLEMENTED,TACEDGE Geotech,client/src/pages/daily-activity.tsx; server/routes/daily-activity.ts,/daily-activity,daily-activity.tsx,forms (type=daily-activity); das_* tables,daily-activity.tsx (1111 lines),None,None,High,DAS specs added June 2026 (migration 0054),DAS live usage
EV-016,Safety,Incident/near-miss/inspection/assessment capture via dynamic form templates with AI analysis,IMPLEMENTED,TACEDGE Geotech,server/routes/forms.ts; server/ai-incident-analyzer.ts,/incidents; /near-misses; /site-inspections; /asset-assessments,incidents.tsx etc.,forms; form_templates,POST /api/forms/:id/analyze,None,None,High,Dual incident stores (incidents table + forms),Which incident store is authoritative
EV-017,Safety,JSA daily sign-ins recorded against parent forms with signatures,IMPLEMENTED,TACEDGE Geotech,server/routes/jsa-signins.ts,GET/POST /api/forms/:id/sign-ins,fill-form.tsx,forms (parentFormId),migrations 0038/0050,None,None,High,No sign-on-gates-drilling logic found in V1,
EV-018,Meetings,Safety meetings with recording + Deepgram/OpenAI transcription + Claude analysis,IMPLEMENTED,TACEDGE Geotech,server/routes/safety-meetings/,/meetings; /meetings/:id,meetings.tsx; meeting-detail.tsx,safety_meetings + 3 child tables,analysis.ts:89 OpenAI Realtime; meeting-ai-analyzer.ts,None,None,High,SteepWorks disables recording via feature flag,
