Screenshot ID,Filename,Workflow ID,Step,Screen name,Route,PDS ID,Capability IDs,Role,Tenant,Environment,Viewport,Capture date,Runtime classification,Data type,Redaction performed,External action triggered,Notes
WF-01-S01,WF-01-S01-login-desktop.png,WF-01,1,Login,/login,PDS-AUTH,V1-AUTH-01,Public,RockControl,local,1440x900,2026-07-17,OBSERVED,Test,None (fictional),None,RockControl brand resolved pre-login
WF-01-S02,WF-01-S02-dashboard-admin-desktop.png,WF-01,2,Dashboard,/,PDS-DSH,V1-DSH-01,OrgAdmin,RockControl,local,1440x900,2026-07-17,OBSERVED — TEST DATA,Test,None,None,KPI tiles + project progress + analytics
WF-01-S03b,WF-01-S03b-mobile-drawer.png,WF-01,3,Mobile nav drawer,/,PDS-DSH,V1-ORG-03,FieldTech,RockControl,local,390x844,2026-07-17,OBSERVED,Test,None,None,
WF-01-S04,WF-01-S04-dashboard-field-desktop.png,WF-01,4,Dashboard (field),/,PDS-DSH,V1-DSH-01,FieldTech,RockControl,local,1440x900,2026-07-17,OBSERVED,Test,None,None,Trimmed nav
WF-01-S04b,WF-01-S04b-dashboard-viewer-desktop.png,WF-01,4,Dashboard (viewer),/,PDS-DSH,V1-DSH-01,ClientViewer,RockControl,local,1440x900,2026-07-17,OBSERVED,Test,None,None,Read-only role
WF-01-S05,WF-01-S05-dashboard-field-mobile.png,WF-01,5,Mobile dashboard + bottom nav,/,PDS-DSH,V1-OFF-01,FieldTech,RockControl,local,390x844,2026-07-17,OBSERVED,Test,None,None,Bottom bar Home/This Page/Drill/Voice
WF-01-S06,WF-01-S06-tacedge-brand-landing-desktop.png,WF-01,6,TACEDGE brand shell,/ (127.0.0.1),PDS-MKT,V1-MKT-01,Public,TACEDGE default,local,1440x900,2026-07-17,PARTIALLY OBSERVED,Test,None,None,Host-fallback brand
WF-02-S01,WF-02-S01-projects-list-desktop.png,WF-02,1,Projects list,/projects,PDS-PRJ,V1-PRJ-01,OrgAdmin,RockControl,local,1440x900,2026-07-17,OBSERVED — TEST DATA,Test,None,None,
WF-02-S02,WF-02-S02-project-overview-desktop.png,WF-02,2,Project overview,/projects/:id,PDS-PRJD,V1-PRJ-01,OrgAdmin,RockControl,local,1440x900,2026-07-17,OBSERVED — TEST DATA,Test,None,None,Tabbed workspace
WF-02-S03,WF-02-S03-specifications-desktop.png,WF-02,3,Specifications,/projects/:id,PDS-PRJD,V1-CFG-01,OrgAdmin,RockControl,local,1440x900,2026-07-17,OBSERVED — TEST DATA,Test,None,None,Designs/mixes/methods
WF-02-S07,WF-02-S07-records-meetings-desktop.png,WF-02,7,Records — meetings,/projects/:id,PDS-PRJD,V1-MTG-01,OrgAdmin,RockControl,local,1440x900,2026-07-17,OBSERVED,Test,None,None,
WF-02-S08,WF-02-S08-project-documents-desktop.png,WF-02,8,Records — documents,/projects/:id,PDS-PRJD,V1-PRJ-04,OrgAdmin,RockControl,local,1440x900,2026-07-17,OBSERVED,Test,None,None,
WF-03-S01,WF-03-S01-anchor-plan-desktop.png,WF-03,1,Anchor Plan,/projects/:id,PDS-PRJD,V1-PRJ-02,OrgAdmin,RockControl,local,1440x900,2026-07-17,OBSERVED — TEST DATA,Test,None,None,Status-coloured grid + PDF import entry
